ISBN	Book-Title	Book-Author	Year-Of-Publication
41	0446601640	Slow Waltz in Cedar Bend	Robert James Waller	1994
42	038572179X	Atonement : A Novel	IAN MCEWAN	2003
43	0553583468	Whisper of Evil (Hooper, Kay. Evil Trilogy.)	Kay Hooper	2002
44	0380778556	Rebecca	Daphne Du Maurier	1994
45	044651747X	Puerto Vallarta Squeeze	Robert James Waller	1995
46	0446527165	Wish You Well	David Baldacci	2000
47	0385337639	Crow Lake (Today Show Book Club #7)	Mary Lawson	2003
48	0451206673	Pen Pals	Olivia Goldsmith	2002
49	0330332775	Bridget Jones's Diary	Helen Fielding	1997
50	0553278223	The Martian Chronicles	RAY BRADBURY	1984
51	0060977493	The God of Small Things	Arundhati Roy	1998
52	0316602906	The Big Bad Wolf: A Novel	James Patterson	2003
53	0316693006	Four Blind Mice	James Patterson	2002
54	0345311396	Private Screening	Richard North Patterson	1994
55	0345378490	Congo	Michael Crichton	1995
56	0345404793	Protect and Defend	Richard North Patterson	2001
57	0375400117	Memoirs of a Geisha	Arthur Golden	1997
58	0375705856	Plainsong (Vintage Contemporaries)	KENT HARUF	2000
59	0380717018	Body of Evidence (Kay Scarpetta Mysteries (Paperback))	Patricia D. Cornwell	1992
60	0380718332	All That Remains (Kay Scarpetta Mysteries (Paperback))	Patricia D. Cornwell	1993
61	0385497466	The Brethren	JOHN GRISHAM	2000
62	0385508042	The King of Torts	John Grisham	2003
63	0385509456	The Curious Incident of the Dog in the Night-Time : A Novel	MARK HADDON	2003
64	0385511612	Bleachers	John Grisham	2003
65	0385730586	Sisterhood of the Traveling Pants	ANN BRASHARES	2003
66	0446605484	Roses Are Red (Alex Cross Novels)	James Patterson	2001
67	0446610399	The Rescue	Nicholas Sparks	2001
68	0449006522	Manhattan Hunt Club	JOHN SAUL	2002
69	0449911004	Patty Jane's House of Curl (Ballantine Reader's Circle)	LORNA LANDVIK	1996
70	0451162072	Pet Sematary	Stephen King	1994
71	0452282152	Girl with a Pearl Earring	Tracy Chevalier	2001
72	0553580388	The Patient	Michael Palmer	2001
73	0671023616	Postmortem (Kay Scarpetta Mysteries (Paperback))	Patricia Cornwell	1998
74	0671027387	Deception Point	Dan Brown	2002
75	0684848783	Tis : A Memoir	Frank McCourt	1999
76	140003180X	The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency)	ALEXANDER MCCALL SMITH	2004
77	155874262X	Chicken Soup for the Soul (Chicken Soup for the Soul)	Jack Canfield	1993
78	0060987103	Wicked: The Life and Times of the Wicked Witch of the West	Gregory Maguire	1996
79	0151008116	Life of Pi	Yann Martel	2002
80	0525947647	Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right	Al Franken	2003
81	0804111359	Secret History	DONNA TARTT	1993
82	1558744150	Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))	Jack Canfield	1996
83	0316782505	The Weight of Water	Anita Shreve	2001
84	0440241413	Confessions of a Shopaholic	SOPHIE KINSELLA	2003
85	0451526341	Animal Farm	George Orwell	2004
86	0553280589	Eva Luna	Isabel Allende	1989
87	0684833395	Catch 22	Joseph Heller	1996
88	0374270325	A Man in Full	Tom Wolfe	1998
89	0375719180	The Miracle Life of Edgar Mint: A Novel	Brady Udall	2002
90	0440235502	October Sky: A Memoir	Homer Hickam	1999
91	044023722X	A Painted House	John Grisham	2001
92	0553278746	The Postman (Bantam Classics)	David Brin	1990
93	0312963009	Neanderthal: A Novel	John Darnton	1997
94	0380730138	Vinegar Hill (Oprah's Book Club (Paperback))	A. Manette Ansay	1998
95	1573228737	Affinity	Sarah Waters	2002
96	0425120279	The Hunt for Red October	Tom Clancy	1990
97	0060188731	Bel Canto	Ann Patchett	2001
98	0142001740	The Secret Life of Bees	Sue Monk Kidd	2003
99	0312995423	Digital Fortress : A Thriller	Dan Brown	2003
100	038542471X	The Client	John Grisham	1993
101	0515128554	Heart of the Sea (Irish Trilogy)	Nora Roberts	2000
102	067103619X	Lake News	Barbara Delinsky	2000
103	0743411269	An Accidental Woman	Barbara Delinsky	2003
104	0156528207	The Little Prince	Antoine de Saint-ExupÃÂ©ry	1968
105	0380012863	Jonathan Livingston Seagull	Richard Bach	1976
106	0671867113	Moonlight Becomes You	Mary Higgins Clark	1997
107	0060173289	Divine Secrets of the Ya-Ya Sisterhood : A Novel	Rebecca Wells	1996
108	0316666343	The Lovely Bones: A Novel	Alice Sebold	2002
109	0440224675	Hannibal	Thomas Harris	2000
110	0449002632	London : The Novel	EDWARD RUTHERFURD	1998
111	0553569058	The Robber Bride	Margaret Atwood	1995
112	1878424319	The Four Agreements: A Practical Guide to Personal Freedom	Don Miguel Ruiz	1997
113	0345335465	Dragonflight (Dragonriders of Pern Trilogy (Paperback))	Anne McCaffrey	1991
114	0553210092	The Scarlet Letter	NATHANIEL HAWTHORNE	1965
115	055358099X	Cloud Nine	Luanne Rice	2000
116	0316168815	The Lovely Bones	Alice Sebold	2004
117	0345424719	A Widow for One Year	JOHN IRVING	1999
118	0375726403	Empire Falls	Richard Russo	2002
119	0385503857	Oryx and Crake	Margaret Atwood	2003
120	0440226104	Black and Blue	ANNA QUINDLEN	1999
121	0452277337	Le Divorce (William Abrahams Book)	Diane Johnson	1997
122	0553802488	The Face	DEAN KOONTZ	2003
123	0671021001	She's Come Undone (Oprah's Book Club)	Wally Lamb	1998
124	0767903579	Falling Leaves: The True Story of an Unwanted Chinese Daughter	Adeline Yen Mah	1999
125	0805063897	Nickel and Dimed: On (Not) Getting By in America	Barbara Ehrenreich	2002
126	0553285343	RUSSIA HOUSE, THE	JOHN LE CARRE	1990
127	0671002481	The First Wives Club Movie Tie In	Olivia Goldsmith	1996
128	0842329129	Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1)	Tim Lahaye	1996
129	0380973545	Letters from a Nut	Ted L. Nancy	1999
130	0786868015	The Diary of Ellen Rimbauer: My Life at Rose Red	Joyce Reardon	2001
131	0446610178	The Sky Is Falling	Sidney Sheldon	2001
132	0060915544	The Bean Trees	Barbara Kingsolver	1989
133	0060932759	Daughter of Fortune	Isabel Allende	2000
134	0312195516	The Red Tent (Bestselling Backlist)	Anita Diamant	1998
135	0451410556	The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback))	Martha Grimes	2002
136	0312278586	The Nanny Diaries: A Novel	Emma McLaughlin	2002
137	0312288115	Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover))	Adele Lang	2002
138	0380710218	Postmortem	Patricia Daniels Cornwell	1993
139	0515118656	The Cove	Catherine Coulter	1996
140	0671000306	Shock Wave (Dirk Pitt Adventures (Paperback))	Clive Cussler	1996
141	0671673688	While My Pretty One Sleeps	Mary Higgins Clark	1990
142	0385721420	Three Junes	JULIA GLASS	2003
143	0451202341	Back Roads	Tawni O'Dell	2001
144	0743418190	In Her Shoes : A Novel	Jennifer Weiner	2002
145	0553272837	Brazen Virtue	Nora Roberts	1996
146	0440225078	Ghost Moon	Karen Robards	2001
147	0425181111	Strangers	Dean R. Koontz	2002
148	0380732688	Milk and Honey (Peter Decker/Rina Lazarus Novels)	Faye Kellerman	2002
149	0449907481	A Thousand Acres (Ballantine Reader's Circle)	JANE SMILEY	1992
150	080213825X	Four Blondes	Candace Bushnell	2001
151	0515127833	River's End	Nora Roberts	2003
152	0345441133	Summer Island	KRISTIN HANNAH	2002
153	0515134279	The Straw Men	Michael Marshall	2002
154	0385424728	The Chamber	John Grisham	1994
155	0385472951	The Partner	John Grisham	1997
156	0425182878	Chosen Prey	John Sandford	2004
157	0553564528	Guilty as Sin	TAMI HOAG	1997
158	055356451X	Night Sins	TAMI HOAG	1995
159	042517736X	Abduction	Robin Cook	2000
160	0345313860	The Vampire Lestat (Vampire Chronicles, Book II)	ANNE RICE	1986
161	0345369947	The Mummy or Ramses the Damned	Anne Rice	1991
162	0553576925	Hiding in the Shadows (Shadows Trilogy (Paperback))	Kay Hooper	2000
163	0446394521	Daisy Fay and the Miracle Man	Fannie Flagg	1992
164	068484267X	Angela's Ashes: A Memoir	Frank McCourt	1999
165	0553578693	The Next Accident	LISA GARDNER	2002
166	0451184718	The Rosewood Casket	Sharyn McCrumb	1997
167	0060938455	Fast Food Nation: The Dark Side of the All-American Meal	Eric Schlosser	2002
168	0440122090	Echoes	Maeve Binchy	1989
169	0061009059	One for the Money (Stephanie Plum Novels (Paperback))	Janet Evanovich	1995
170	0060930187	The Bell Jar : A Novel (Perennial Classics)	Sylvia Plath	2000
171	0821770209	About Face	Fern Michaels	2003
172	0446364193	Along Came a Spider (Alex Cross Novels)	James Patterson	1993
173	0446519138	Simple Abundance: A Daybook of Comfort and Joy	Sarah Ban Breathnach	1995
174	0425179672	The River King	Alice Hoffman	2001
175	0399144463	Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life	Spencer Johnson	1998
176	0140185216	On the Road (Penguin 20th Century Classics)	Jack Kerouac	1998
177	0684801221	OLD MAN AND THE SEA	Ernest Hemingway	1995
178	0446672211	Where the Heart Is (Oprah's Book Club (Paperback))	Billie Letts	1998
179	0140293248	The Girls' Guide to Hunting and Fishing	Melissa Bank	2000
180	0142000205	Icy Sparks	Gwyn Hyman Rubio	2001
181	015600710X	Strange Fits of Passion: A Novel	Anita Shreve	1999
182	0385504209	The Da Vinci Code	Dan Brown	2003
183	0670892963	Bridget Jones : The Edge of Reason	Helen Fielding	2000
184	0316789089	The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover))	Anita Shreve	1999
185	0425184129	Big Trouble	Dave Barry	2002
186	0385505833	Skipping Christmas	JOHN GRISHAM	2001
187	0679442790	The Reader	Bernhard Schlink	1997
188	0743206045	Daddy's Little Girl	Mary Higgins Clark	2002
189	0743406176	If Only It Were True	Marc Levy	2000
190	0446523569	Message in a Bottle	Nicholas Sparks	1998
191	0671042556	Blackbird: A Childhood Lost and Found	Jennifer Lauck	2000
192	0446527793	The Guardian	Nicholas Sparks	2003
193	0446531332	Nights in Rodanthe	Nicholas Sparks	2002
194	0385420161	Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies	Laura Esquivel	1992
195	0345339711	The Two Towers (The Lord of the Rings, Part 2)	J.R.R. TOLKIEN	1986
196	039304016X	The Perfect Storm: A True Story of Men Against the Sea	Sebastian Junger	1997
197	0399147128	The Villa	Nora Roberts	2001
198	0316969443	Suzanne's Diary for Nicholas	James Patterson	2001
199	0316693200	2nd Chance	James Patterson	2002
200	0064407667	The Bad Beginning (A Series of Unfortunate Events, Book 1)	Lemony Snicket	1999
201	0349101779	The Wasp Factory	Iain Banks	0
202	0316776963	Me Talk Pretty One Day	David Sedaris	2001
203	0060934719	stardust	Neil Gaiman	2001
204	0451181379	The Door to December	Dean R. Koontz	1994
205	0425142485	The Funhouse	Dean R. Koontz	1994
206	1573229571	About a Boy (Movie Tie-In)	Nick Hornby	2002
207	0743211383	Dreamcatcher	Stephen King	2001
208	0440218535	Smilla's Sense of Snow	Peter Hoeg	1997
209	0440219078	The Giver (21st Century Reference)	LOIS LOWRY	1994
210	0451155750	The Dead Zone	Stephen King	2004
211	0380820447	For Better, for Worse: A Novel	Carole Matthews	2002
212	0451454243	The Forest House	Marion Zimmer Bradley	1995
213	039914563X	The Bear and the Dragon	Tom Clancy	2000
214	0425161722	Net Force	Tom Clancy	1999
215	0440211727	A Time to Kill	JOHN GRISHAM	1992
216	0380002450	Awakening	Kate Chopin	1982
217	0425134350	Patriot Games	Tom Clancy	1992
218	044661162X	Chasing the Dime	Michael Connelly	2003
219	038533334X	Charming Billy	Alice McDermott	1999
220	0345404777	No Safe Place	RICHARD NORTH PATTERSON	1999
221	0440224829	Granny Dan	DANIELLE STEEL	2000
222	0515134368	The Penwyth Curse	Catherine Coulter	2004
223	0553212583	Wuthering Heights	EMILY BRONTE	1983
224	0446364762	The Stars Shine Down	Sidney Sheldon	1993
225	0425166619	Toxin	Robin Cook	1999
226	0765341972	The Mothman Prophecies	John A. Keel	2002
227	0553561618	Dark Paradise	TAMI HOAG	1994
228	0312422156	Middlesex: A Novel	Jeffrey Eugenides	2003
229	044022165X	The Rainmaker	JOHN GRISHAM	1996
230	0425124347	The Bad Place	Dean R. Koontz	1994
231	0312282990	The Amazing Adventures of Kavalier &amp; Clay	Michael Chabon	2001
232	0394820371	The Phantom Tollbooth	Norton Juster	1993
233	0449134482	Dances With Wolves	Michael Blake	1990
234	0345348036	The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure	WILLIAM GOLDMAN	1987
235	0553568760	Natural Causes	Michael Palmer	1995
236	034538184X	Degree of Guilt	Richard North Patterson	1995
237	0805062971	Fight Club	Chuck Palahniuk	1999
238	0671510053	SHIPPING NEWS	Annie Proulx	1994
239	1573229385	The Frog King: A Love Story	Adam Davies	2002
240	0385334036	The Smoke Jumper	Nicholas Evans	2001
241	0060914653	The Unbearable Lightness of Being	Milan Kundera	1988
242	0345347536	A Spell for Chameleon (Xanth Novels (Paperback))	Piers Anthony	1987
243	055321313X	Anne of Green Gables (Anne of Green Gables Novels (Paperback))	L.M. MONTGOMERY	1982
244	0060529709	Everything Is Illuminated : A Novel	Jonathan Safran Foer	2003
245	0743237188	Fall On Your Knees (Oprah #45)	Ann-Marie MacDonald	2002
246	0553586122	Reap the Wind	Iris Johansen	2002
247	0553584510	The Survivors Club	LISA GARDNER	2003
248	0345443284	While I Was Gone	Sue Miller	1999
249	0684801469	Farewell To Arms	Ernest Hemingway	1995
250	0671789422	Possessing the Secret of Joy	Alice Walker	1993
251	014016930X	Angle of Repose (Contemporary American Fiction)	Wallace Stegner	1992
252	0140077022	White Noise (Contemporary American Fiction)	Don DeLillo	1991
253	0553273914	The House of the Spirits	Isabel Allende	1986
254	039592720X	Interpreter of Maladies	Jhumpa Lahiri	1999
255	0060928336	Divine Secrets of the Ya-Ya Sisterhood: A Novel	Rebecca Wells	1997
256	0671003755	She's Come Undone (Oprah's Book Club (Paperback))	Wally Lamb	1996
257	0440215625	Dragonfly in Amber	DIANA GABALDON	1993
258	0316777730	Naked	David Sedaris	1998
259	0877733759	Writing Down the Bones	NATALIE GOLDBERG	1986
260	0140042393	The Grapes of Wrath	John Steinbeck	1976
261	0446601241	Kiss the Girls	James Patterson	1995
262	0451124340	Different Seasons	Stephen King	1983
263	0345384466	The Witching Hour (Lives of the Mayfair Witches)	ANNE RICE	1993
264	0446604801	Jack &amp; Jill (Alex Cross Novels)	James Patterson	1997
265	0345422392	Vittorio the Vampire: New Tales of the Vampires	Anne Rice	2001
266	0679734775	The House on Mango Street (Vintage Contemporaries)	SANDRA CISNEROS	1991
267	0671027344	The Perks of Being a Wallflower	Stephen Chbosky	1999
268	006019491X	Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover))	Isabel Allende	1999
269	0066211611	Portrait in Sepia	Isabel Allende	2001
270	0380789035	American Gods	Neil Gaiman	2002
271	0060964049	Tales of the City (Tales of the City Series, V. 1)	Armistead Maupin	1989
272	0440206154	Red Dragon	Thomas Harris	2000
273	0345370775	Jurassic Park	Michael Crichton	1999
274	0743457943	Trading Places	Fern Michaels	2003
275	0373484224	Stanislaski Brothers (Silhouette Promo)	Nora Roberts	2000
276	0380789019	Neverwhere	Neil Gaiman	1998
277	0380018179	The Thorn Birds	Colleen McCullough	1978
278	067101420X	Forever... : A Novel of Good and Evil, Love and Hope	Jude Deveraux	2002
279	0553571656	The Beekeeper's Apprentice	LAURIE R. KING	1996
280	0786866276	Mother of Pearl	Melinda Haynes	1999
281	000649840X	Angelas Ashes	Frank Mccourt	0
282	0099771519	Memoirs of a Geisha Uk	Arthur Golden	0
283	067102535X	Last Dance, Last Chance (Ann Rule's Crime Files)	Ann Rule	2002
284	0385720920	Choke	CHUCK PALAHNIUK	2002
285	0385498721	Survivor : A Novel	CHUCK PALAHNIUK	2000
286	0380813815	Lamb : The Gospel According to Biff, Christ's Childhood Pal	Christopher Moore	2003
287	0385314744	Rush Limbaugh Is a Big Fat Idiot: And Other Observations	Al Franken	1996
288	0439404371	The Thief Lord	Cornelia Funke	2002
289	1573225789	The Color of Water: A Black Man's Tribute to His White Mother	James McBride	1997
290	0553296981	Anne Frank: The Diary of a Young Girl	ANNE FRANK	1993
291	0345285549	Elfstones of Shannara	Terry Brooks	1990
292	0451169530	The Stand: Complete and Uncut	Stephen King	1991
293	067168390X	Lonesome Dove	Larry McMurtry	1988
294	0385335881	Shopaholic Takes Manhattan (Summer Display Opportunity)	Sophie Kinsella	2002
295	0385335482	Confessions of a Shopaholic (Summer Display Opportunity)	SOPHIE KINSELLA	2001
296	0553258001	The Cider House Rules	John Irving	1986
297	0553582658	Summer Light	Luanne Rice	2002
298	0373218400	Table For Two	Nora Roberts	2002
299	0826308791	The Education of Little Tree (A Zia Book)	Forrest Carter	1986
300	0345435249	Darwin's Radio	Greg Bear	2000
301	0441003257	Good Omens	Neil Gaiman	1996
302	0451202503	The Songcatcher: A Ballad Novel	Sharyn McCrumb	2002
303	0671028375	Fatal Voyage	Kathy Reichs	2002
304	0671759361	Pearl in the Mist (Landry)	V.C. Andrews	1994
305	0399146008	Shock	Robin Cook	2001
306	0060930535	The Poisonwood Bible: A Novel	Barbara Kingsolver	1999
307	0375702709	A Lesson Before Dying (Vintage Contemporaries (Paperback))	Ernest J. Gaines	1997
308	0671038184	Jewel	Bret Lott	1999
309	0060916508	Their Eyes Were Watching God: A Novel	Zora Neale Hurston	1990
310	0552996009	Notes From a Small Planet	Bill Bryson	0
311	0142000663	The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002)	John Steinbeck	2002
312	0590660543	Northern Lights (His Dark Materials S.)	Philip Pullman	1998
313	0345361792	A Prayer for Owen Meany	John Irving	1990
314	038531258X	Cold Sassy Tree	Olive Ann Burns	1986
315	006092988X	A Tree Grows in Brooklyn	Betty Smith	1998
316	0743225406	The Shipping News : A Novel	Annie Proulx	2001
317	1400034779	The No. 1 Ladies' Detective Agency (Today Show Book Club #8)	Alexander McCall Smith	2003
318	0786885688	Shopgirl	Steve Martin	2001
319	0671880187	Kitchen	Banana Yoshimoto	1994
320	037570504X	Breath, Eyes, Memory	Edwidge Danticat	1998
321	0767902521	A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail)	Bill Bryson	1999
322	0553377868	The Flanders Panel	ARTURO PEREZ-REVERTE	1996
323	0609608444	The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)	ERIK LARSON	2003
324	1558744606	Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper))	Jack Canfield	1997
325	0345325818	The Silmarillion	J.R.R. TOLKIEN	1985
326	014131088X	Speak	Laurie Halse Anderson	2001
327	0140244824	Songs in Ordinary Time (Oprah's Book Club (Paperback))	Mary McGarry Morris	1996
328	0385510438	The Last Juror	John Grisham	2004
329	0380723638	Ill Wind (Anna Pigeon Mysteries (Paperback))	Nevada Barr	1997
330	0385324057	Summer Sisters	Judy Blume	1998
331	0425185710	Valhalla Rising (Dirk Pitt Adventures (Paperback))	Clive Cussler	2002
332	0671527215	Hitchhikers's Guide to the Galaxy	Douglas Adams	1984
333	0553377876	Half Asleep in Frog Pajamas	Tom Robbins	1995
334	014025448X	At Home in Mitford (The Mitford Years)	Jan Karon	1996
335	0060934417	Bel Canto: A Novel	Ann Patchett	2002
336	0671793489	All Around the Town	Mary Higgins Clark	1993
337	0679772677	A Civil Action	JONATHAN HARR	1996
338	0312983824	Faking It	Jennifer Crusie	2003
339	0449149676	On Mystic Lake	Kristin Hannah	2000
340	0451191153	The Fountainhead	Ayn Rand	1996
341	0440224624	The Loop	Nicholas Evans	1999
342	0743418174	Good in Bed	Jennifer Weiner	2002
343	0451187903	Sense and Sensibility	Jane Austen	1995
344	0671036505	The Vineyard	Barbara Delinsky	2001
345	0671004565	We'll Meet Again	Mary Higgins Clark	2000
346	0345370805	How to Make an American Quilt	Whitney Otto	1992
347	0375703055	Ellen Foster	Kaye Gibbons	1997
348	0156006529	Where or When : A Novel	Anita Shreve	1999
349	0446673544	Sex &amp; the City	Candace Bushnell	1997
350	0312243022	The Hours : A Novel	Michael Cunningham	2000
351	0316789844	Resistance : A Novel	Anita Shreve	1997
352	0385490445	Alias Grace : A Novel	Margaret Atwood	1997
353	0375700757	Cold Mountain : A Novel	CHARLES FRAZIER	1998
354	0070212570	Fried Green Tomatoes at the Whistle Stop Cafe	Fannie Flagg	1989
355	0061098361	Circle of Three: A Novel	Patricia Gaffney	2001
356	0446611239	The Cabinet of Curiosities	Douglas Preston	2003
357	0316781266	The Last Time They Met : A Novel	Anita Shreve	2002
358	0380814021	The Princess Diaries	Meg Cabot	2001
359	0061098795	The Wailing Wind	Tony Hillerman	2003
360	0375725784	A Heartbreaking Work of Staggering Genius	Dave Eggers	2001
361	0452281784	Bad Heir Day	Wendy Holden	2001
362	038533656X	Apocalipstick	SUE MARGOLIS	2003
363	0345436911	The Dress Lodger (Ballantine Reader's Circle)	Sheri Holman	2001
364	0440217520	Tunnel Vision (V.I. Warshawski Novels (Paperback))	Sara Paretsky	1995
365	0345339703	The Fellowship of the Ring (The Lord of the Rings, Part 1)	J.R.R. TOLKIEN	1986
366	0670030643	The Eyre Affair (Alex Awards (Awards))	Jasper Fforde	2002
367	0440131480	Breakfast of Champions	Kurt Vonnegut	1991
368	0440940001	Island of the Blue Dolphins (Laurel Leaf Books)	Scott O'Dell	1978
369	0425163385	The Night Crew	John Sandford	2004
370	0671042262	The Blue Nowhere : A Novel	Jeffery Deaver	2002
371	0425157539	Sudden Prey	John Sandford	1997
372	0553585118	Once a Thief	Kay Hooper	2002
373	0679731148	A Year in Provence	Peter Mayle	1991
374	0380600129	The Indian in the Cupboard	Lynne Reid Banks	1999
375	0316693324	When the Wind Blows	James Patterson	1998
376	0553580272	House Atreides (Dune: House Trilogy, Book 1)	Brian Herbert	2000
377	0449912558	The Sparrow	MARY DORIA RUSSELL	1997
378	0684835983	Before I Say Good-Bye : A Novel	Mary Higgins Clark	2000
379	089480829X	What to Expect When You're Expecting (Revised Edition)	Arlene Eisenberg	1996
380	0767912233	Babyville	JANE GREEN	2003
381	0894805770	What to Expect the First Year	Arlene Eisenberg	1989
382	0688177751	Miss Julia Speaks Her Mind : A Novel	Ann B. Ross	2000
383	0345438329	Big Stone Gap: A Novel (Ballantine Reader's Circle)	Adriana Trigiani	2001
384	0345446860	Back When We Were Grownups : A Novel (Ballantine Reader's Circle)	ANNE TYLER	2002
385	0515090506	The Cat Who Played Brahms	Lilian Jackson Braun	1997
386	0399145087	Black Notice	Patricia Daniels Cornwell	1999
387	0060192119	As Nature Made Him: The Boy Who Was Raised As a Girl	John Colapinto	2000
388	0312990456	One for the Money (A Stephanie Plum Novel)	Janet Evanovich	2003
389	0399501487	Lord of the Flies	William Gerald Golding	1959
390	0425177173	Atlantis Found	Clive Cussler	2001
391	0553572997	The Alienist	Caleb Carr	1995
392	0380727501	Notes from a Small Island	Bill Bryson	1997
393	0373218192	Engaging The Enemy	Nora Roberts	2003
394	0515120006	Holding the Dream (Dream Trilogy)	Nora Roberts	2001
395	0515127396	The Cat Who Saw Stars (Cat Who... (Paperback))	Lilian Jackson Braun	2000
396	0345416260	Pope Joan (Ballantine Reader's Circle)	Donna Woolfolk Cross	1996
397	0385486804	Into the Wild	Jon Krakauer	1997
398	0385512104	The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13)	Mark Haddon	2003
399	0064405176	Walk Two Moons	Sharon Creech	1996
400	076790382X	I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away	Bill Bryson	2000
401	0425158616	Cause of Death	Patricia Daniels Cornwell	1997
402	0060175400	The Poisonwood Bible	Barbara Kingsolver	1999
403	0671537458	Waiting to Exhale	Terry McMillan	1995
404	0515127221	Sullivan's Island: A Lowcountry Tale	Dorothea Benton Frank	2000
405	0425161242	Chromosome 6	Robin Cook	2000
406	0425169863	Point of Origin	Patricia Daniels Cornwell	1999
407	0345380371	Rising Sun	MICHAEL CRICHTON	1992
408	0446609323	Black Friday	James Patterson	1989
409	0316690619	Cradle and All	James Patterson	2000
410	0446610038	1st to Die: A Novel	James Patterson	2002
411	0679459626	Flesh and Blood	Jonathan Kellerman	2001
412	0671001701	Legend	Jude Deveraux	1997
413	0805019375	L Is for Lawless (Kinsey Millhone Mysteries)	Sue Grafton	1995
414	0061000175	Skinwalkers (Joe Leaphorn/Jim Chee Novels)	Tony Hillerman	1990
415	0061097659	Switcheroo : A Novel	Olivia Goldsmith	1999
416	0743457358	Everything's Eventual : 14 Dark Tales	Stephen King	2002
417	0345425707	A Cup of Tea (Ballantine Reader's Circle)	Amy Ephron	1998
418	0425167313	Here on Earth	Alice Hoffman	1998
419	034540288X	The Lost World	Michael Crichton	1996
420	0425167720	An Instance of the Fingerpost	Iain Pears	1999
421	0609610597	The Shelters of Stone (Earth's Children Series, No 5)	JEAN M. AUEL	2002
422	0374281602	Reversible Errors: A Novel	Scott Turow	2002
